لفاتحة,Al-Fatihah (1),Pembukaan
البقرة,Al-Baqarah (2),Sapi
آل عمران,Ali Imran (3),Keluarga 'Imran
النّساء,An-Nisa' (4),Wanita
المآئدة,Al-Ma'idah (5),Jamuan (hidangan makanan)
الانعام,Al-An'am (6),Hewan Ternak
الأعراف,Al-A'raf (7),Tempat yang tertinggi
الأنفال,Al-Anfal (8),Harta rampasan perang
التوبة‎‎,At-Taubah (9),Pengampunan
ينوس,Yunus (10),Nabi Yunus
هود,Hud (11),Nabi Hud
يسوف,Yusuf (12),Nabi Yusuf
الرّعد,Ar-Ra'd (13),Guruh (petir)
إبراهيم,Ibrahim (14),Nabi Ibrahim
الحجر,Al-Hijr (15),Gunung Al Hijr
النّحل,An-Nahl (16),Lebah
الإسرا,Al-Isra' (17),Perjalanan Malam
الكهف,Al-Kahf (18),Penghuni-penghuni Gua
مريم,Maryam (19),Maryam (Maria)
طه,Thaha (20),Ta Ha
الأنبياء,Al-Anbiya (21),Nabi-Nabi
الحجّ,Al-Hajj (22),Haji
المؤمنون,Al-Mu'minun (23),Orang-orang mukmin
النّور,An-Nur (24),Cahaya
الفرقان,Al-Furqan (25),Pembeda
الشّعراء,Asy-Syu'ara' (26),Penyair
النّمل,An-Naml (27),Semut
القصص,Al-Qasas (28) ,Kisah
العنكبوت,Al-'Ankabut (29),Laba-laba
الرّوم,Ar-Rum (30),Bangsa Romawi
لقمان,Luqman (31),Keluarga Luqman
السّجدة,As-Sajdah (32),Sajdah
الْأحزاب,Al-Ahzab (33),Golongan-Golongan yang bersekutu
سبا,Saba (34),Kaum Saba'
فاطر,Fatir (35),Pencipta
يس,Ya Sin (36),Yaasiin
الصّافات,As-Saffat (37),Barisan-barisan
ص,Sad (38),Shaad
الزّمر,Az-Zumar (39),Rombongan-rombongan
غافر,Gafir (40),Maha Pengampun
فصّلت,Fussilat (41),Yang dijelaskan
الشّورى,Asy-Syura (42),Musyawarah
الزّخرف,Az-Zukhruf (43),Perhiasan
الدّخان,Ad-Dukhan (44),Kabut
الجاثية,Al-Jasiyah (45),Yang bertekuk lutut
الَأحقاف,Al-Ahqaf (46),Bukit-bukit pasir
محمّد,Muhammad (47),Nabi Muhammad
الفتح,Al-Fath (48),Kemenangan
الحجرات,Al-Hujurat (49),Kamar-kamar
ق,Qaf (50),Qaaf
الذّاريات,Az-Zariyat (51),Angin yang menerbangkan
الطّور,At-Tur (52),Bukit
النّجْم,An-Najm (53),Bintang
القمر,Al-Qamar (54),Bulan
الرّحْمن,Ar-Rahman (55),Yang Maha Pemurah
الواقعة,Al-Waqi'ah (56),Hari Kiamat
الحديد,Al-Hadid (57),Besi
المجادلة,Al-Mujadalah (58),Wanita yang mengajukan gugatan
الحشْر,Al-Hasyr (59),Pengusiran
الممتحنة,Al-Mumtahanah (60),Wanita yang diuji
الصّفّ,As-Saff (61),Satu barisan
الجمعة,Al-Jumu'ah (62),Hari Jum’at
المنافقون,Al-Munafiqun (63),Orang-orang yang munafik
التّغابن,At-Tagabun (64),Hari dinampakkan kesalahan-kesalahan
الطّلاق,At-Talaq (65),Talak
التّحريم,At-Tahrim (66),Mengharamkan
الملك,Al-Mulk (67),Kerajaan
القلم,Al-Qalam (68),Pena
الحآقّة,Al-Haqqah (69),Hari kiamat
المعارج,Al-Ma'arij (70),Tempat naik
نوح,Nuh (71),Nabi Nuh
الجنّ,Al-Jinn (72),Jin
المزمّل,Al-Muzzammil (73),Orang yang berselimut
المدثر,Al-Muddatstsir (74),Orang yang berkemul
القيامة,Al-Qiyamah (75),Kiamat
الْاٍنسان,Al-Insan (76),Manusia
المرسلات,Al-Mursalat (77),Malaikat-Malaikat Yang Diutus
النباء,An-Naba (78),Berita besar
النّازعات,An-Nazi'at (79),Malaikat-Malaikat Yang Mencabut
عبس,'Abasa (80),Ia Bermuka masam
التّكوير,At-Takwir (81),Menggulung
الانفطار,Al-Infitar (82),Terbelah
المطفّفين,Al-Muthaffifin (83),Orang-orang yang curang
الانشقاق,Al-Insyiqaq (84),Terbelah
البروج,Al-Buruj (85),Gugusan bintang
الطّارق,At-Tariq (86),Yang datang di malam hari
الْأعلى,Al-A'la (87),Yang paling tinggi
الغاشية,Al-Gasyiyah (88),Hari Pembalasan
الفجر,Al-Fajr (89),Fajar
البلد,Al-Balad (90),Negeri
الشّمس,Asy-Syams (91),Matahari
الّيل,Al-Lail (92),Malam
الضحى‎‎,Ad-Duha (93),Waktu matahari sepenggalahan naik (Dhuha)
الشرح,Asy-syarh (94),Melapangkan
التِّينِ,At-Tin (95),Buah Tin
العَلَق,Al-'Alaq (96),Segumpal Darah
الْقَدْرِ,Al-Qadr (97),Kemuliaan
الْبَيِّنَةُ,Al-Bayyinah (98),Pembuktian
الزلزلة‎‎,Az-Zalzalah (99),Kegoncangan
العاديات‎‎,Al-'Adiyat (100),Berlari kencang
القارعة‎‎,Al-Qari'ah (101),Hari Kiamat
التكاثر‎‎,At-Takasur (102),Bermegah-megahan
العصر,Al-'Asr (103),Masa/Waktu
الهُمَزة‎‎,Al-Humazah (104),Pengumpat
الْفِيلِ,Al-Fil (105),Gajah
قُرَيْشٍ,Quraisy (106),Suku Quraisy
الْمَاعُونَ,Al-Ma'un (107),Barang-barang yang berguna
الكوثر,Al-Kausar (108),Nikmat yang berlimpah
الْكَافِرُونَ,Al-Kafirun (109),Orang-orang kafir
النصر‎‎,An-Nasr (110),Pertolongan
الّلهب,Al-Lahab (111),Gejolak Api/ Sabut
الإخلاص‎‎,Al-Ikhlas (112),Ikhlas
الْفَلَقِ,Al-Falaq (113),Waktu Subuh
النَّاسِ,An-Nas (114),Umat Manusia
